id_survey,date_of_survey,ticket_system,customer_service,value_for_money,overall_text,cleaned_text,sentiment,likelihood_to_recommend,nps_category,ease_of_use,overall_rating,csat_category
T_04121,2024-12-20,Zendesk,2.0,3.0,"Knowledgebase, tickets, satisfied users.",knowledgebase tickets satisfied users,Positif,6.0,Detractor,4.0,4.0,Satisfied
T_03348,2024-12-10,Zoho Desk,5.0,5.0,Zoho is 9 and plus rated in comparison to other platforms in the market and it's the best value on investment.,zoho is 9 and plus rated ini comparison tapi other platforms ini the market and itu sih the best value on investment,Positif,8.0,Passive,5.0,5.0,Satisfied
T_03584,2024-12-12,otrs,2.0,5.0,Pros:very easy to use and fast interface that helps to manage our business,pros very easy tapi use and fast interface that helps tapi manage our business,Positif,9.0,Promoter,5.0,5.0,Satisfied
T_04803,2024-12-29,ServiceNow,3.0,4.0,"The interface is simple, intuitive, and manageable. It is an excellent product for organizing and handling requests and cases.",the interface is simple intuitive and manageable itu is an excellent product for organizing and handling requests and cases,Positif,8.0,Passive,4.0,4.0,Satisfied
T_02713,2024-12-01,Jira Service Management,4.0,5.0,"Customization, integrations, workflows, SLAs",customization integrations workflows slas,Netral,9.0,Promoter,4.0,4.0,Satisfied
T_03701,2024-12-14,Zendesk,3.0,4.0,"We've been using Zendesk for years, it has made email communication/ task management extremely easy and intuitive. All of out team love it",we ve been using zendesk for years itu has made email communication task management extremely easy and intuitive all of out team love itu,Positif,9.0,Promoter,4.0,5.0,Satisfied
T_04100,2024-12-20,Zoho Desk,1.0,3.0,"Perfect, alot of feature are with benefit and incentives",perfect alot of feature are with benefit and incentives,Netral,3.0,Detractor,3.0,4.0,Satisfied
T_00164,2024-10-05,Zoho Desk,2.0,5.0,Overall experience with Zoho Desk that they will be there for you support 24/7,overall experience with zoho desk that they will be there for you support 24 7,Netral,9.0,Promoter,5.0,4.0,Satisfied
T_03835,2024-12-16,Freshdesk,5.0,5.0,"We went from a very clunky process to using Freshdesk, which revolutionised our response time to customers.",we went from a very clunky process tapi using freshdesk which revolutionised our response time tapi customers,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_03680,2024-12-14,Freshdesk,2.0,5.0,Overall FreshDesk is great for our needs. We are a smaller company so menuevering the tickets isn't overwhelming and the website provides helpful tools that save tons of time.,overall freshdesk is great for our needs we are a smaller company sok menuevering the tickets isn t overwhelming and the website provides helpful tools that save tons of time,Positif,9.0,Promoter,5.0,5.0,Satisfied
T_00748,2024-10-20,Zoho Desk,4.0,5.0,Pros:I really like how this is easy to easy and connect to our leads in real-time.,pros i really like how this is easy tapi easy and connect tapi our leads ini real time,Positif,10.0,Promoter,5.0,5.0,Satisfied
T_04256,2024-12-22,Zoho Desk,2.0,3.0,Pros:1. You can review the KB's while working on a ticket.2. Integration with Zoho CRM3. Agent collision detection is done in good way.,pros 1 you can review the kb sih while working on a ticket 2 integration with zoho crm3 agent collision detection is done ini good way,Positif,4.0,Detractor,3.0,3.0,Neutral
T_00565,2024-10-15,Freshdesk,4.0,5.0,"My overall experience was fresh desk has been pretty great I went from making $70,000 a year to $120,000 a year just the first year I had fresh desk. Fresh this year help me straighten up my business and keep everything organized I wouldn't want to have a business now without first disc I've brought my friends to fresh desk I know there's three of my friends that run their business that has bought fresh disc so try.",my overall experience was fresh desk has been pretty great i went from making 70 0 a year tapi 120 0 a year just the first year i had fresh desk fresh this year help me straighten up my business and keep everything organized i wouldn t want tapi have a business now without first disc i ve brought my friends tapi fresh desk i know there sih three of my friends that run their business that has bought fresh disc sok try,Positif,9.0,Promoter,5.0,5.0,Satisfied
T_04268,2024-12-22,Freshdesk,4.0,5.0,If I am impressed with the non-customized option then I am sure I would be very happy with the customized one too. Only that I need to get it sooner for better handling and data extraction.,if i sama impressed with the non customized option then i sama sure i would be very happy with the customized one too only that i need tapi get itu sooner for better handling and data extraction,Positif,7.0,Passive,5.0,4.0,Satisfied
T_04871,2024-12-30,Zendesk,3.0,4.0,Overall it worked great while we were growing before we switched. They integrate with a lot of partners.,overall itu worked great while we were growing before we switched they integrate with a lot of partners,Positif,6.0,Detractor,4.0,3.0,Neutral
T_02254,2024-11-22,ServiceNow,3.0,3.0,It's great overall. We are a company of 125k + employees and it's a handy tool to have.,itu sih great overall we are a company of 125k employees and itu sih a handy tool tapi have,Positif,4.0,Detractor,4.0,4.0,Satisfied
T_01640,2024-11-10,Zendesk,4.0,5.0,"Pros:We use this software for technical support questions, chat and overall support to our customers. It is very convenient, I even use the app.",pros we use this software for technical support questions chat and overall support tapi our customers itu is very convenient i even use the app,Netral,10.0,Promoter,5.0,5.0,Satisfied
T_03468,2024-12-11,Zendesk,5.0,5.0,It's pleasant as long as you've been using it for a while since you will get around it.,itu sih pleasant as long as you ve been using itu for a while since you will get around itu,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_03353,2024-12-10,Zoho Desk,5.0,5.0,Pros:Clean design with lots of options. The price cannot be beat the the customer service is fantastic. Also the ease of having it integrate into our website is perfect.,pros clean design with lots of options the price cannot be beat the the customer service is fantastic also the ease of having itu integrate into our website is perfect,Netral,8.0,Passive,5.0,5.0,Satisfied
T_00525,2024-10-14,Zoho Desk,4.0,5.0,customer service,customer service,Netral,6.0,Detractor,5.0,5.0,Satisfied
T_00861,2024-10-23,Zoho Desk,4.0,4.0,Pros:This app is super easy to use. You can use it for customer management. This app is helpful if you are running a small business and wants to track online orders. Customer support is incredible good,pros this app is super easy tapi use you can use itu for customer management this app is helpful if you are running a small business and wants tapi track online orders customer support is incredible good,Positif,9.0,Promoter,4.0,4.0,Satisfied
T_04760,2024-12-29,Zoho Desk,3.0,5.0,Keeping track of support issues and making sure they are resolved in an acceptable time frame,keeping track of support issues and making sure they are resolved ini an acceptable time frame,Netral,7.0,Passive,4.0,4.0,Satisfied
T_04421,2024-12-24,Zendesk,5.0,5.0,"This app has helped the company to be more efficient in the way we provide customer service, from creating manuals to providing real-time support.",this app has helped the company tapi be more efficient ini the way we provide customer service from creating manuals tapi providing real time support,Netral,8.0,Passive,5.0,5.0,Satisfied
T_01287,2024-11-03,Zendesk,3.0,4.0,It makes handling customer queries and complains so much easier. And you can have ne agents up and running with it in no time,itu makes handling customer queries and complains sok much easier and you can have ini agents up and running with itu ini no time,Netral,7.0,Passive,4.0,4.0,Satisfied
T_01646,2024-11-10,ServiceNow,3.0,4.0,Overall its a great tool to have experience with when working as SME or platform engineer as its the widely and extensively used tool for tracking purposes.,overall its a great tool tapi have experience with when working as sme orang platform engineer as its the widely and extensively used tool for tracking purposes,Positif,7.0,Passive,4.0,5.0,Satisfied
T_00079,2024-10-02,Jira Service Management,2.0,4.0,"After talking about positive and negative points, I must admit that my experience with this tool was good, since it helped us a lot to manage and work faster and more efficiently in my technical support work. Obvious with slight inconveniences from time to time, but in the end an excellent job was done with this one.",after talking about positive and negative points i must admit that my experience with this tool was good since itu helped us a lot tapi manage and work faster and more efficiently ini my technical support work obvious with slight inconveniences from time tapi time but ini the end an excellent job was done with this one,Positif,8.0,Passive,4.0,5.0,Satisfied
T_00089,2024-10-03,Zoho Desk,3.0,5.0,Pros:too many useful tool and easy to use friendly interface,pros too many useful tool and easy tapi use friendly interface,Positif,7.0,Passive,5.0,4.0,Satisfied
T_00605,2024-10-16,Zendesk,4.0,4.0,I was introduced to Zendesk an one of my jobs and it was stesful having to rename basic things and fuctions the zendesk way. It was powerful and colorful though.,i was introduced tapi zendesk an one of my jobs and itu was stesful having tapi rename basic things and fuctions the zendesk way itu was powerful and colorful though,Netral,7.0,Passive,5.0,5.0,Satisfied
T_04381,2024-12-24,Zoho Desk,1.0,5.0,We are able to track our customer issues and can manage everything in one place. It also connects to our CRM which makes all the conversations visible for all users.,we are able tapi track our customer issues and can manage everything ini one place itu also connects tapi our crm which makes all the conversations visible for all users,Netral,8.0,Passive,4.0,4.0,Satisfied
T_03341,2024-12-10,Zoho Desk,2.0,5.0,systematic management of customer tickets as well as internal tasks.,systematic management of customer tickets as well as internal tasks,Netral,10.0,Promoter,4.0,5.0,Satisfied
T_01251,2024-11-02,Zendesk,2.0,4.0,Pros:The ease of use between multiple agents makes client communication much easier. Sharing tickets far better than email!,pros the ease of use between multiple agents makes client communication much easier sharing tickets far better tahan email,Netral,8.0,Passive,4.0,4.0,Satisfied
T_00231,2024-10-06,Zendesk,4.0,5.0,Organization and efficiency,organization and efficiency,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_03898,2024-12-17,Freshdesk,1.0,3.0,Was able to implement a cost-effective help desk solution that integrates with our CRM.,was able tapi implement a cost effective help desk solution that integrates with our crm,Netral,4.0,Detractor,5.0,4.0,Satisfied
T_04029,2024-12-19,Zoho Desk,3.0,4.0,"Pros:zoho desk as gota lots offeatures,and you canfullypersonnalisecustomerportaland admin portal",pros zoho desk as gota lots offeatures and you canfullypersonnalisecustomerportaland admin portal,Netral,6.0,Detractor,4.0,4.0,Satisfied
T_03173,2024-12-08,Zoho Desk,4.0,4.0,Makes customer management extremely easy once you get going.,makes customer management extremely easy once you get going,Positif,10.0,Promoter,5.0,5.0,Satisfied
T_04506,2024-12-25,ServiceNow,1.0,3.0,Pros:The pros are definetly the possibility to create personalized filters and manage tickets from various countries and clients.,pros the pros are definetly the possibility tapi create personalized filters and manage tickets from various countries and clients,Netral,2.0,Detractor,2.0,3.0,Neutral
T_04127,2024-12-20,Zendesk,2.0,4.0,"All in All, I liked the software, it can be said that one of the best ITSM solutions regarding the request fulfillment and incident management process can be awarded to this product.",all ini all i liked the software itu can be said that one of the best itsm solutions regarding the request fulfillment and incident management process can be awarded tapi this product,Positif,6.0,Detractor,4.0,4.0,Satisfied
T_00115,2024-10-03,Zendesk,2.0,3.0,"Muy buena, siempre que puedo lo recomiendo.",muy buena siempre que puedo lo recomiendo,Netral,9.0,Promoter,5.0,4.0,Satisfied
T_01244,2024-11-02,Zendesk,4.0,5.0,Pros:We use Zendesk as a ticketing system for our members to be able to contact us when they have an issue with our platform. We find that for this purpose it works really well. We are able to link our phone system to it as well making it easy to call monitor and deal with complaints.,pros we use zendesk as a ticketing system for our members tapi be able tapi contact us when they have an issue with our platform we find that for this purpose itu works really well we are able tapi link our phone system tapi itu as well making itu easy tapi call monitor and deal with complaints,Positif,8.0,Passive,5.0,5.0,Satisfied
T_03534,2024-12-12,Freshdesk,2.0,5.0,"Pros:Definitely the amount of control that the admins have over customizing admin areas (e.g. automations, ticket workflow, permissions etc). Freshdesk customer service has been consistently quick and efficient in responding to my queries.",pros definitely the amount of control that the admins have over customizing admin areas e enggak automations ticket workflow permissions etc freshdesk customer service has been consistently quick and efficient ini responding tapi my queries,Netral,8.0,Passive,4.0,4.0,Satisfied
T_04038,2024-12-19,Freshdesk,4.0,5.0,My experience can be found in my answers above.In general it is a great tool for my daily job as support,my experience can be found ini my answers above ini general itu is a great tool for my daily job as support,Positif,6.0,Detractor,5.0,4.0,Satisfied
T_01233,2024-11-02,Freshdesk,3.0,5.0,The software solves a real business need. It's a shame Freshdesk does not integrate very well with Freshsales.,the software solves a real business need itu sih a shame freshdesk does not integrate very well with freshsales,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_03526,2024-12-12,Freshdesk,3.0,5.0,"Freshdesk has been a comprehensive and intuitive help desk solution for our organization. We have been impressed with its automation and reporting capabilities, as well as its user-friendly interface. Although there were some limitations, we have been very satisfied with our experience with Freshdesk and would highly recommend it to any organization looking for a powerful and affordable help desk solution.",freshdesk has been a comprehensive and intuitive help desk solution for our organization we have been impressed with its automation and reporting capabilities as well as its user friendly interface although there were some limitations we have been very satisfied with our experience with freshdesk and would highly recommend itu tapi any organization looking for a powerful and affordable help desk solution,Positif,6.0,Detractor,4.0,5.0,Satisfied
T_02766,2024-12-02,Zendesk,2.0,4.0,"Pros:This program has made it very easy for our agents to write, respond to, and handle tickets in our system. The user interface is fresh and easy to use for all of the people we have working with it. There is a lot of different things this program is able to do that it's competitors can not which is why we chose it. Shop around, but you'll come back to this one.",pros this program has made itu very easy for our agents tapi write respond tapi and handle tickets ini our system the user interface is fresh and easy tapi use for all of the people we have working with itu there is a lot of different things this program is able tapi di that itu sih competitors can not which is why we chose itu shop around but you ll come back tapi this one,Positif,7.0,Passive,4.0,4.0,Satisfied
T_03268,2024-12-09,Zoho Desk,3.0,4.0,good and once you get used to it then it is easy to use,good and once you get used tapi itu then itu is easy tapi use,Positif,5.0,Detractor,3.0,3.0,Neutral
T_00091,2024-10-03,Zoho Desk,5.0,5.0,Pros:Integration with other aspects of Zoho to provide a full turn key solution where all tools are in one same place.,pros integration with other aspects of zoho tapi provide a full turn key solution where all tools are ini one same place,Netral,10.0,Promoter,5.0,5.0,Satisfied
T_01426,2024-11-06,Zendesk,1.0,3.0,"Overall my experience with Zendesk and their application was wonderful. In fact it started getting better and kept getting better from the beginning when I first purchased it years ago but the price has just gone up too much. The services haven't gotten any better and I just feel like the price needs to, if anything, go down. Especially with all these new similar applications coming out.",overall my experience with zendesk and their application was wonderful ini fact itu started getting better and kept getting better from the beginning when i first purchased itu years ago but the price has just gone up too much the services haven t gotten any better and i just feel like the price needs tapi if anything go down especially with all these new similar applications coming out,Netral,3.0,Detractor,4.0,5.0,Satisfied
T_01105,2024-10-29,Zoho Desk,3.0,5.0,"Simplified and indepth solution for team handling, performance monitoring, business management, account management, training, website management rather I would say its an universal business tool for business - customer service and service management",simplified and indepth solution for team handling performance monitoring business management account management training website management rather i would sayang its an universal business tool for business customer service and service management,Netral,9.0,Promoter,5.0,4.0,Satisfied
T_03976,2024-12-18,Zendesk,4.0,3.0,Overall experience with zendesk is good but there is lot of improvement areas which can benefit to reduce complexity of use.,overall experience with zendesk is good but there is lot of improvement areas which can benefit tapi reduce complexity of use,Positif,7.0,Passive,4.0,4.0,Satisfied
T_02516,2024-11-28,Freshdesk,3.0,5.0,"Whilst Freshdesk does have some issues that can cause complications, these are a very small price to pay for the level of detail you can record in reporting. The change this program has made to our customer service team has been astounding and we have plans to futher these as well. Would highly recommend this product to any business.",whilst freshdesk does have some issues that can cause complications these are a very small price tapi pay for the level of detail you can record ini reporting the change this program has made tapi our customer service team has been astounding and we have plans tapi futher these as well would highly recommend this product tapi any business,Positif,7.0,Passive,5.0,5.0,Satisfied
T_02311,2024-11-23,otrs,5.0,5.0,Pros:OTRS offers different features that helps me go thoroughly and smoothly in my transactions with a minimum effort and maximum productivity.It is easy to navigate which is very helpful to me as a beginner. It organizes internal and external communication through clear structures. It literally solves my problem.,pros otrs offers different features that helps me go thoroughly and smoothly ini my transactions with a minimum effort and maximum productivity itu is easy tapi navigate which is very helpful tapi me as a beginner itu organizes internal and external communication through clear structures itu literally solves my problem,Positif,9.0,Promoter,5.0,5.0,Satisfied
T_00632,2024-10-17,Freshdesk,5.0,4.0,Freshdeks is helping us keep our customers happy by providing a platform to address their concerns and issues and resolve them. It is making our business grow.,freshdeks is helping us keep our customers happy by providing a platform tapi address their concerns and issues and resolve them itu is making our business grow,Positif,9.0,Promoter,5.0,5.0,Satisfied
T_02415,2024-11-26,Zoho Desk,4.0,4.0,"good, i recommend it",good i recommend itu,Positif,6.0,Detractor,3.0,4.0,Satisfied
T_02126,2024-11-19,Zendesk,4.0,5.0,nice,nice,Netral,8.0,Passive,5.0,5.0,Satisfied
T_04531,2024-12-26,Zoho Desk,4.0,5.0,We used Zoho Desk to get complete our projects. We had multiple projects and needed a place to manage every assignment.,we used zoho desk tapi get complete our projects we had multiple projects and needed a place tapi manage every assignment,Netral,6.0,Detractor,5.0,5.0,Satisfied
T_03241,2024-12-08,ServiceNow,3.0,5.0,Overall it was a good learning platform and also came to know various things that are present and which are available to use so can say had a good experience with the tool,overall itu was a good learning platform and also came tapi know various things that are present and which are available tapi use sok can sayang had a good experience with the tool,Positif,10.0,Promoter,5.0,5.0,Satisfied
T_04637,2024-12-27,Zendesk,3.0,5.0,It is helping us communicate to clients and resolve their issues on time and hence keeping us more productive in customer service delivery.,itu is helping us communicate tapi clients and resolve their issues on time and hence keeping us more productive ini customer service delivery,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_02280,2024-11-23,Freshdesk,3.0,4.0,"Freshdesk is used by support teams within organizations. It was implemented to replace the use of group mailboxes as the support team grew. The centralized management of support email quickly proved its value. Since then, we have also implemented a solution tool (knowledge base) as a central guidance repository for our user base to supplement the training resources we provide. Freshdesk is perfect for any support team using email or social media to help users. It's flexible enough to become a central element of your online presence once you find your way into the admin section and set up a look and feel that fits your company's style. The most important question when choosing help desk software is obviously how you want to support your customers and finding software that does exactly that.",freshdesk is used by support teams within organizations itu was implemented tapi replace the use of group mailboxes as the support team grew the centralized management of support email quickly proved its value since then we have also implemented a solution tool knowledge base as a central guidance repository for our user base tapi supplement the training resources we provide freshdesk is perfect for any support team using email orang social media tapi help users itu sih flexible enough tapi become a central element of your online presence once you find your way into the admin section and set up a look and feel that fits your company sih style the most important question when choosing help desk software is obviously how you want tapi support your customers and finding software that does exactly that,Netral,8.0,Passive,4.0,4.0,Satisfied
T_02907,2024-12-04,Freshdesk,4.0,5.0,It is so much more streamlined than our old software SDP and I use this product nonstop for all of our customer supportneeds and will be adding the phone feature very soon.,itu is sok much more streamlined tahan our old software sdp and i use this product nonstop for all of our customer supportneeds and will be adding the phone feature very soon,Netral,8.0,Passive,5.0,5.0,Satisfied
T_00493,2024-10-13,Zoho Desk,4.0,4.0,"Total surprise, did not expect the quality level presented. very good",total surprise did not expect the quality level presented very good,Positif,8.0,Passive,5.0,5.0,Satisfied
T_04681,2024-12-28,Zoho Desk,3.0,5.0,"Great for huge project management, you can connect with Zoho Analytics and get amazing reports. So you can know the generals and the specifics in detail too!",great for huge project management you can connect with zoho analytics and get amazing reports sok you can know the generals and the specifics ini detail too,Positif,8.0,Passive,4.0,5.0,Satisfied
T_00227,2024-10-06,Zendesk,2.0,2.0,"we use zendesk daily for our ticketing needs, but are moving off the platform due to the incomplete and terrible reporting, UI issues and death by a thousand cuts due to nickle and diming people for access",we use zendesk daily for our ticketing needs but are moving off the platform due tapi the incomplete and terrible reporting ui issues and death by a thousand cuts due tapi nickle and diming people for access,Negatif,4.0,Detractor,3.0,3.0,Neutral
T_00467,2024-10-12,Freshdesk,3.0,5.0,I can not but praise this application is fantastic.,i can not but praise this application is fantastic,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_00780,2024-10-20,Jira Service Management,3.0,5.0,Pros:It helps us to organise and better understand the current progress.,pros itu helps us tapi organise and better understand the current progress,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_03978,2024-12-18,Zendesk,4.0,5.0,"Very satisfied, it works well to allow teams to come together and solve tickets.",very satisfied itu works well tapi allow teams tapi come together and solve tickets,Positif,10.0,Promoter,5.0,5.0,Satisfied
T_00901,2024-10-24,Zoho Desk,4.0,5.0,"Pros:We were looking for a new ticket management software.We used an internal solution.We have selected Zoho Desk.With the power of creating these forms, the powerful management of statistics and is clearly superior to the competitor.",pros we were looking for a new ticket management software we used an internal solution we have selected zoho desk with the power of creating these forms the powerful management of statistics and is clearly superior tapi the competitor,Netral,9.0,Promoter,4.0,5.0,Satisfied
T_02767,2024-12-02,Zendesk,3.0,3.0,My overall experience with Zendesk is positive. Charging on a per agent per month basis is pretty good as our workforce fluctuates.,my overall experience with zendesk is positive charging on a per agent per month basis is pretty good as our workforce fluctuates,Positif,7.0,Passive,4.0,4.0,Satisfied
T_04200,2024-12-21,Zendesk,2.0,3.0,"Zendesk chats allow us to address customer queries while on the website, which allow us to help customer to finalize a purchase that otherwise would be lost. It is also useful to rise customer satisfaction as customers do not have to wait on the telephone or write emails to receive an answer.",zendesk chats allow us tapi address customer queries while on the website which allow us tapi help customer tapi finalize a purchase that otherwise would be lost itu is also useful tapi rise customer satisfaction as customers di not have tapi wait on the telephone orang write emails tapi receive an answer,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_01920,2024-11-16,Zoho Desk,3.0,4.0,Super intuitive to pick up and use from the get go. It was extremely easy to set up the entire team and inform them on how to utilize the basic features of Zoho Help Desk.,super intuitive tapi pick up and use from the get go itu was extremely easy tapi set up the entire team and inform them on how tapi utilize the basic features of zoho help desk,Positif,7.0,Passive,5.0,5.0,Satisfied
T_00004,2024-10-01,Zoho Desk,4.0,5.0,Help me a lot for my helpdesk department.,help me a lot for my helpdesk department,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_00211,2024-10-06,Zoho Desk,4.0,4.0,Pros:The response time from the support team is always prompt and they resolve your questions first time.The use of custom fields in tickets allows you to adapt the product to suit your needs.The Zoho Desk App allows you to be fully mobile and works without time delay or lag.,pros the response time from the support team is always prompt and they resolve your questions first time the use of custom fields ini tickets allows you tapi adapt the product tapi suit your needs the zoho desk app allows you tapi be fully mobile and works without time delay orang lag,Netral,7.0,Passive,5.0,4.0,Satisfied
T_04222,2024-12-21,Zendesk,5.0,5.0,Allows us to quickly receive and manage Customer Contact information and supportrequests.,allows us tapi quickly receive and manage customer contact information and supportrequests,Netral,10.0,Promoter,5.0,5.0,Satisfied
T_04202,2024-12-21,Zendesk,5.0,5.0,"Since the product acquisition, the support team helped us in every step of the integration. Our last update was to set up a middleware app to route Whatsapp, Facebook and Twitter request and turn them into tickets.",since the product acquisition the support team helped us ini every step of the integration our last update was tapi set up a middleware app tapi route whatsapp facebook and twitter request and turn them into tickets,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_04725,2024-12-28,Zendesk,3.0,2.0,Pros:It would be hard to find another ticketing system that is as robust as Zendesk. It can pretty much do anything that any other system can do.,pros itu would be hard tapi find another ticketing system that is as robust as zendesk itu can pretty much di anything that any other system can di,Netral,2.0,Detractor,3.0,5.0,Satisfied
T_02972,2024-12-05,Zoho Desk,2.0,5.0,"Pros:This is by far the most user friendly help-desk software, big ups the developers and front end guys!",pros this is by far the most user friendly help desk software big ups the developers and front end guys,Positif,7.0,Passive,5.0,5.0,Satisfied
T_03936,2024-12-17,Jira Service Management,2.0,2.0,"Pros:We use this tool to track the task, issues for the project. Its great for BA, Scrum master , Project mangers to track the items and project status. Notifications are very well maintained.",pros we use this tool tapi track the task issues for the project its great for ba scrum master project mangers tapi track the items and project status notifications are very well maintained,Positif,5.0,Detractor,4.0,5.0,Satisfied
T_03738,2024-12-15,Zoho Desk,2.0,2.0,Ease of access to info.,ease of access tapi info,Netral,2.0,Detractor,2.0,3.0,Neutral
T_04616,2024-12-27,Freshdesk,4.0,5.0,"I'm a big fan and I wish we would have started using it to manage client/customer requests sooner. It's one of those tools in your workflow that works for you rather and against you because it's been reliable and ever since it's been configured, I haven't had any issues since. I've recommended it to several other people in my network that have expressed similar difficulties to those I was experiencing prior to leveraging Freshdesk.",i sama a big fan and i wish we would have started using itu tapi manage client customer requests sooner itu sih one of those tools ini your workflow that works for you rather and against you because itu sih been reliable and ever since itu sih been configured i haven t had any issues since i ve recommended itu tapi several other people ini my network that have expressed similar difficulties tapi those i was experiencing prior tapi leveraging freshdesk,Netral,9.0,Promoter,5.0,5.0,Satisfied
T_00932,2024-10-25,Zoho Desk,3.0,4.0,"Overall, it is a good starter product and is helpful but a lot of tweaking is needed and the product offering is geared to pull you towards needing the Pro package. One day I may choose that but wish I could have a vanity URL for email now with a one time fee.",overall itu is a good starter product and is helpful but a lot of tweaking is needed and the product offering is geared tapi pull you towards needing the pro package one day i mau choose that but wish i could have a vanity url for email now with a one time fee,Positif,6.0,Detractor,4.0,4.0,Satisfied
T_04809,2024-12-29,Jira Service Management,3.0,5.0,Pros:Extensive flexibility.Granular permissions.Integration with other Atlassian products.Ease of use from the customer perspective.,pros extensive flexibility granular permissions integration with other atlassian products ease of use from the customer perspective,Netral,8.0,Passive,4.0,5.0,Satisfied
